planning_unit,regime,beam_width,rounding_multiplier,baseline_cost,approximate_dp_cost,relative_cost_change_pct
FOODS_3_080__TX_2,tight_capacity,192,0.2,4486.447479052735,4858.496945093766,8.292740922035392
FOODS_3_090__CA_1,long_lead,48,0.05,10462.066864132315,8328.97485710885,-20.388820246757014
FOODS_3_090__CA_1,long_lead,48,0.1,10462.066864132315,8328.97485710885,-20.388820246757014
FOODS_3_090__CA_1,long_lead,48,0.2,10462.066864132315,8328.97485710885,-20.388820246757014
FOODS_3_090__CA_1,long_lead,96,0.05,10462.066864132315,8328.97485710885,-20.388820246757014
FOODS_3_090__CA_1,long_lead,96,0.1,10462.066864132315,8328.97485710885,-20.388820246757014
FOODS_3_090__CA_1,long_lead,96,0.2,10462.066864132315,8328.97485710885,-20.388820246757014
FOODS_3_090__CA_1,long_lead,192,0.05,10462.066864132315,10002.688541085381,-4.390894543236448
FOODS_3_090__CA_1,long_lead,192,0.1,10462.066864132315,10002.688541085381,-4.390894543236448
FOODS_3_090__CA_1,long_lead,192,0.2,10462.066864132315,10002.688541085381,-4.390894543236448
FOODS_3_090__CA_1,tight_capacity,48,0.05,10759.044658905832,14998.242672353628,39.401249347345974
FOODS_3_090__CA_1,tight_capacity,48,0.1,10759.044658905832,14998.242672353628,39.401249347345974
FOODS_3_090__CA_1,tight_capacity,48,0.2,10759.044658905832,14998.242672353628,39.401249347345974
FOODS_3_090__CA_1,tight_capacity,96,0.05,10759.044658905832,14998.242672353628,39.401249347345974
FOODS_3_090__CA_1,tight_capacity,96,0.1,10759.044658905832,14998.242672353628,39.401249347345974
FOODS_3_090__CA_1,tight_capacity,96,0.2,10759.044658905832,14997.742672353628,39.39660209458468
FOODS_3_090__CA_1,tight_capacity,192,0.05,10759.044658905832,14997.742672353628,39.39660209458468
FOODS_3_090__CA_1,tight_capacity,192,0.1,10759.044658905832,14998.242672353628,39.401249347345974
FOODS_3_090__CA_1,tight_capacity,192,0.2,10759.044658905832,14998.242672353628,39.401249347345974
FOODS_3_090__CA_2,long_lead,48,0.05,14519.809045196875,7783.577382688004,-46.39339017159598
FOODS_3_090__CA_2,long_lead,48,0.1,14519.809045196875,7783.577382688004,-46.39339017159598
FOODS_3_090__CA_2,long_lead,48,0.2,14519.809045196875,7783.577382688004,-46.39339017159598
FOODS_3_090__CA_2,long_lead,96,0.05,14519.809045196875,7783.577382688004,-46.39339017159598
FOODS_3_090__CA_2,long_lead,96,0.1,14519.809045196875,7783.577382688004,-46.39339017159598
FOODS_3_090__CA_2,long_lead,96,0.2,14519.809045196875,7783.577382688004,-46.39339017159598
FOODS_3_090__CA_2,long_lead,192,0.05,14519.809045196875,7783.577382688004,-46.39339017159598
FOODS_3_090__CA_2,long_lead,192,0.1,14519.809045196875,7783.577382688004,-46.39339017159598
FOODS_3_090__CA_2,long_lead,192,0.2,14519.809045196875,7783.577382688004,-46.39339017159598
FOODS_3_090__CA_2,tight_capacity,48,0.05,17740.82815204661,19737.972156366508,11.25733244921547
FOODS_3_090__CA_2,tight_capacity,48,0.1,17740.82815204661,19737.972156366508,11.25733244921547
FOODS_3_090__CA_2,tight_capacity,48,0.2,17740.82815204661,19737.972156366508,11.25733244921547
FOODS_3_090__CA_2,tight_capacity,96,0.05,17740.82815204661,19737.972156366508,11.25733244921547
FOODS_3_090__CA_2,tight_capacity,96,0.1,17740.82815204661,19737.972156366508,11.25733244921547
FOODS_3_090__CA_2,tight_capacity,96,0.2,17740.82815204661,19737.972156366508,11.25733244921547
FOODS_3_090__CA_2,tight_capacity,192,0.05,17740.82815204661,19737.972156366508,11.25733244921547
FOODS_3_090__CA_2,tight_capacity,192,0.1,17740.82815204661,19737.972156366508,11.25733244921547
FOODS_3_090__CA_2,tight_capacity,192,0.2,17740.82815204661,19737.972156366508,11.25733244921547
FOODS_3_090__CA_3,long_lead,48,0.05,15889.042384370856,12108.399169440163,-23.794028132554395
FOODS_3_090__CA_3,long_lead,48,0.1,15889.042384370856,12108.399169440163,-23.794028132554395
FOODS_3_090__CA_3,long_lead,48,0.2,15889.042384370856,12108.399169440163,-23.794028132554395
FOODS_3_090__CA_3,long_lead,96,0.05,15889.042384370856,12108.399169440163,-23.794028132554395
FOODS_3_090__CA_3,long_lead,96,0.1,15889.042384370856,12108.399169440163,-23.794028132554395
FOODS_3_090__CA_3,long_lead,96,0.2,15889.042384370856,12108.399169440163,-23.794028132554395
FOODS_3_090__CA_3,long_lead,192,0.05,15889.042384370856,12107.399169440163,-23.800321778047994
FOODS_3_090__CA_3,long_lead,192,0.1,15889.042384370856,12107.399169440163,-23.800321778047994
FOODS_3_090__CA_3,long_lead,192,0.2,15889.042384370856,12107.399169440163,-23.800321778047994
FOODS_3_090__CA_3,tight_capacity,48,0.05,27382.460731012274,35507.554548302345,29.672621088023387
FOODS_3_090__CA_3,tight_capacity,48,0.1,27382.460731012274,35507.554548302345,29.672621088023387
FOODS_3_090__CA_3,tight_capacity,48,0.2,27382.460731012274,35507.554548302345,29.672621088023387
FOODS_3_090__CA_3,tight_capacity,96,0.05,27382.460731012274,35507.554548302345,29.672621088023387
FOODS_3_090__CA_3,tight_capacity,96,0.1,27382.460731012274,35507.554548302345,29.672621088023387
